campaign_id,campaign_name,channel,campaign_type,segment,region,impressions,clicks,leads,customers,spend,revenue,ctr,click_to_lead_rate,lead_to_customer_rate,cac,roas,roi
CMP013,Email_LeadGen_03,Email,Lead Gen,B2B,East,11353502.0,598661.0,63404.0,11277.0,286284.19,2529034.03,0.05272919315996069,0.10590968845473482,0.17785944104472903,25.386555821583755,8.833998237904789,7.833998237904789
CMP014,Email_Retargeting_04,Email,Retargeting,Consumer,South,11641971.0,575282.0,62510.0,12014.0,293753.49,2832186.4,0.04941448488404584,0.1086597529559416,0.19219324908014718,24.45093141335109,9.641371069327551,8.641371069327551
CMP015,Email_Retargeting_05,Email,Retargeting,SMB,North,4531182.0,215564.0,21018.0,3679.0,181861.83000000002,868612.13,0.04757345875756039,0.09750236588669722,0.1750404415263108,49.43240826311498,4.77622011171888,3.7762201117188803
CMP016,Affiliate_LeadGen_01,Affiliate,Lead Gen,B2B,North,8462253.0,234868.0,19729.0,3377.0,382537.13000000006,2389570.8499999996,0.02775478350741818,0.08400037467854284,0.17116934461959551,113.27720758069295,6.246637679328015,5.246637679328015
CMP017,Affiliate_Retargeting_02,Affiliate,Retargeting,Mid-Market,South,4661502.0,125351.0,10939.0,1759.0,291146.05999999994,1291814.9800000002,0.026890688880965834,0.08726695439206708,0.16080080446110248,165.51794201250706,4.436999696990577,3.4369996969905774
CMP018,Affiliate_Acquisition_03,Affiliate,Acquisition,Mid-Market,West,10915158.0,313246.0,28488.0,4929.0,458242.52,3246830.05,0.028698256131519124,0.09094449729605486,0.1730202190395956,92.96865895719213,7.085396723987987,6.085396723987987
CMP019,Affiliate_Retargeting_04,Affiliate,Retargeting,Consumer,South,9284753.0,254574.0,21428.0,3776.0,408127.44,2759458.59,0.0274184999859447,0.08417198928405886,0.17621803248086615,108.08459745762713,6.761266995426722,5.761266995426722
CMP020,Affiliate_LeadGen_05,Affiliate,Lead Gen,Consumer,East,7606678.0,224554.0,18879.0,3441.0,369162.19,2277100.4299999997,0.02952063962744315,0.08407331866722481,0.18226600985221675,107.28340308049985,6.168292668325539,5.168292668325539
CMP021,Display_LeadGen_01,Display,Lead Gen,Mid-Market,East,5425122.0,52705.0,2396.0,263.0,293008.5,223793.02,0.00971498889794552,0.04546058248743003,0.10976627712854758,1114.1007604562737,0.7637765457316085,-0.23622345426839156
CMP022,Display_Acquisition_02,Display,Acquisition,Mid-Market,South,8113785.0,80018.0,3572.0,405.0,356509.86,346121.41000000003,0.00986198180010932,0.04463995600989777,0.11338185890257559,880.2712592592592,0.9708606937266757,-0.02913930627332426
CMP023,Display_LeadGen_03,Display,Lead Gen,Consumer,West,7159625.0,73259.0,3347.0,358.0,347111.14,306140.33999999997,0.010232239817029523,0.045687219317763005,0.10696145802210935,969.5841899441341,0.881966335047616,-0.11803366495238397
CMP024,Display_LeadGen_04,Display,Lead Gen,SMB,East,7079791.0,76882.0,3440.0,381.0,340868.60000000003,326625.33999999997,0.010859360113879068,0.04474389323898962,0.11075581395348837,894.6682414698164,0.958214807700093,-0.04178519229990696
CMP025,Display_Retargeting_05,Display,Retargeting,Mid-Market,West,8330561.0,86190.0,3922.0,458.0,357066.47,449267.43999999994,0.010346241987784496,0.04550411880728623,0.11677715451300356,779.6211135371178,1.2582179446868813,0.25821794468688136
CMP026,Video_Acquisition_01,Video,Acquisition,Consumer,South,5444875.0,52648.0,2236.0,227.0,315888.30000000005,216188.39,0.009669276154181684,0.042470749126272606,0.10152057245080501,1391.5784140969165,0.6843823908641123,-0.31561760913588766
CMP027,Video_LeadGen_02,Video,Lead Gen,Consumer,East,7916272.0,74726.0,3361.0,324.0,373059.15,312098.17,0.009439544270333309,0.04497765168749833,0.09639988098780125,1151.4171296296297,0.8365916504125417,-0.16340834958745828
CMP028,Video_LeadGen_03,Video,Lead Gen,B2B,North,3916549.0,36717.0,1461.0,139.0,274347.98,142634.4,0.009374834835463568,0.03979083258436147,0.09514031485284052,1973.7264748201437,0.5199032265519141,-0.4800967734480859
CMP029,Video_LeadGen_04,Video,Lead Gen,Consumer,East,2705298.0,23971.0,1032.0,87.0,220489.83000000002,86173.88,0.008860761365291365,0.043052021192274,0.08430232558139535,2534.3658620689657,0.39082927316874433,-0.6091707268312557
CMP030,Video_Retargeting_05,Video,Retargeting,B2B,North,5173234.0,46505.0,1907.0,183.0,298371.6,212978.30000000002,0.00898954116515897,0.04100634340393506,0.09596224436287362,1630.4459016393441,0.7138021849264475,-0.28619781507355246
